Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
NEVADA,2021,2,,-,0,,,-,,-,,-,3,,,-,3,,NEVADA,,20210253,POINT (-114.916992 39.283294)
ALASKA,2021,2,,-,1,,,-,,-,,N,,NC,,N,,N,ALASKA,,20210258,POINT (-151.631889 63.631126)
WASHINGTON,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20210262,POINT (-120.592492 47.411715)
OREGON,2021,2,,-,0,,,-,,-,,-,2,,,-,,-,OREGON,,20210261,POINT (-120.605279 43.940449)
GUAM,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210266,POINT (144.653198 13.3532)
NEW MEXICO,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20210254,POINT (-106.108388 34.421369)
NORTHERN MARIANA ISLANDS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210265,POINT (145.725693 15.1834)
HAWAII,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20210260,POINT (-157.854309 21.361013)
UTAH,2021,2,,-,0,,,-,,-,,-,3,,1,,1,,UTAH,,20210255,POINT (-111.678222 39.323779)
PUERTO RICO,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20210267,POINT (-66.414655 18.215692)
AMERICAN SAMOA,2021,2,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20210264,
U.S. VIRGIN ISLANDS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210268,POINT (-64.840836 18.060868)
WYOMING,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20210256,POINT (-107.55145 42.999627)
US RESIDENTS,2021,1,,-,1,,,-,,-,294,,425,,294,,186,,,US RESIDENTS,20210101,
CONNECTICUT,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20210103,POINT (-72.738288 41.575155)
MASSACHUSETTS,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20210105,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20210106,POINT (-71.57139 43.680429)
VERMONT,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20210108,POINT (-72.662695 44.075252)
NEW JERSEY,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20210110,POINT (-74.655514 40.110253)
NEW YORK CITY,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20210112,
PENNSYLVANIA,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20210113,POINT (-77.838886 40.896694)
ILLINOIS,2021,1,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20210115,POINT (-89.148632 40.124144)
OHIO,2021,1,,-,0,,,-,,-,,-,4,,,-,1,,OHIO,,20210118,POINT (-82.70936 40.415534)
KANSAS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20210122,POINT (-98.38018 38.484729)
MINNESOTA,2021,1,,-,0,,,-,,-,,-,5,,,-,,-,MINNESOTA,,20210123,POINT (-94.198308 46.349153)
NEBRASKA,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,NEBRASKA,,20210125,POINT (-99.810595 41.527099)
